LGA_CODE,Crime_Rate,Y
10750,594.4,1
10900,317.6,0.75
11300,187,0.5
11450,277.1,0.5
11500,578,1
11520,116.9,0.25
11570,372.3,0.75
11650,524.6,1
12850,356,0.75
12930,288,0.5
13800,390.1,0.75
14000,102.9,0.25
14100,102.5,0.25
14170,222.4,0.5
14500,61.7,0.25
14700,119,0.25
14900,463.2,1
15350,109.2,0.25
15950,183.2,0.5
15990,114.5,0.25
16260,269.8,0.5
16350,523.3,1
16550,248.5,0.5
16700,169.1,0.5
17100,255.1,0.5
17150,215.4,0.5
17200,430,0.75
17420,127.4,0.25
18050,235.8,0.5
18250,93.6,0.25
18400,371.9,0.75
18500,152.7,0.5